Stimulus,ElapsedTime,count,Block,LoadLevel,KeyPress,RT,Correct,date,frameRate,expName,session,participant,
Z,120.016989946,1,4,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
R,122.017390966,2,4,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
J,124.018362999,3,4,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
L,126.01828289,4,4,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
R,128.018479824,5,4,01230123,1,0.374493837357,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
A,130.019097805,6,4,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
L,132.019117832,7,4,01230123,1,1.01393294334,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
M,134.02005291,8,4,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
A,136.019872904,9,4,01230123,1,0.484934091568,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
C,138.020282984,10,4,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
F,140.020376921,11,4,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
K,142.020296812,12,4,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
C,144.021395922,13,4,01230123,1,0.32343006134,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
N,146.021132946,14,4,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Instructions,151.000613928,,,,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
G,157.023078918,1,5,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
S,159.023183823,2,5,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
X,161.024805784,3,5,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
J,163.026040792,4,5,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
B,165.025663853,5,5,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
R,167.028618813,6,5,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
K,169.009177923,7,5,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
X,171.008890867,8,5,01230123,1,0.367558002472,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
L,173.008804798,9,5,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
X,175.00886488,10,5,01230123,1,0.383432865143,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Y,177.009941816,11,5,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
P,179.009800911,12,5,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
D,181.009928942,13,5,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
X,183.01005888,14,5,01230123,1,0.366142034531,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Instructions,188.000523806,,,,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
P,194.012373924,1,6,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
P,196.011739016,2,6,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
K,198.01294899,3,6,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Y,200.013362885,4,6,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
R,202.013395786,5,6,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
F,204.013034821,6,6,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
F,206.013696909,7,6,01230123,1,0.370573043823,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
S,208.014074802,8,6,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
A,210.014400005,9,6,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
W,212.01521492,10,6,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
W,214.015087843,11,6,01230123,1,0.440624952316,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
F,216.015507936,12,6,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
F,218.015642881,13,6,01230123,1,0.360001087189,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
B,220.0155828,14,6,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Instructions,225.000800848,,,,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
R,231.01757288,1,7,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
G,233.017799854,2,7,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
R,235.017944813,3,7,01230123,1,0.525510072708,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
N,237.018373966,4,7,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
L,239.018610954,5,7,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
S,241.01897192,6,7,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Y,243.018829823,7,7,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
B,245.019776821,8,7,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Y,247.020226955,9,7,01230123,1,0.32321190834,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
B,249.019784927,10,7,01230123,1,0.347763061523,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Y,251.020792007,11,7,01230123,1,0.610643863678,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
M,253.020554781,12,7,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
P,255.02086997,13,7,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
W,257.021490812,14,7,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Instructions,262.000588894,,,,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
K,268.022717953,1,8,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
G,270.023175955,2,8,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
F,272.023427963,3,8,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
K,274.023602962,4,8,01230123,1,0.39949297905,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
L,276.023796797,5,8,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
S,278.024935007,6,8,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Y,280.024938822,7,8,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
L,282.025153875,8,8,01230123,1,0.357583045959,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
M,284.008615971,9,8,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
Y,286.025878906,10,8,01230123,1,0.708960056305,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
P,288.008974791,11,8,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
C,290.009181976,12,8,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
J,292.00935483,13,8,01230123,,,,2016_Apr_05_1330,59.8451045858,NBack,001,090,
P,294.00996089,14,8,01230123,1,0.389044046402,Y,2016_Apr_05_1330,59.8451045858,NBack,001,090,
