Stimulus,ElapsedTime,count,Block,LoadLevel,date,frameRate,expName,session,participant,
K,339.020070612,9,9,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
V,341.040698574,10,9,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
B,343.040647008,11,9,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
S,345.030976777,12,9,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
G,347.041048563,13,9,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,349.030881874,14,9,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Instructions,356.000995659,,,,2014_Dec_15_0815,50.0844579743,NBack,001,,
M,362.041715627,1,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
M,364.031726126,2,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
B,366.021057494,3,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
B,368.021310934,4,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
C,370.031134766,5,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
C,372.021316968,6,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
C,374.022212787,7,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
C,376.021478249,8,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
K,378.021645563,9,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
F,380.02179642,10,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
A,382.021785998,11,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Y,384.031918675,12,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
L,386.022247347,13,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
R,388.022513953,14,10,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Instructions,395.00096439,,,,2014_Dec_15_0815,50.0844579743,NBack,001,,
G,401.022377358,1,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
L,403.022594044,2,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
L,405.022922091,3,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
B,407.022818411,4,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Y,409.032819431,5,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Z,411.022879851,6,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
F,413.023137131,7,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
K,415.0232836,8,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
K,417.033601695,9,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
K,419.023272628,10,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
C,421.023228743,11,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
C,423.023217223,12,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
M,425.023086662,13,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
H,427.023263303,14,11,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Instructions,434.000975361,,,,2014_Dec_15_0815,50.0844579743,NBack,001,,
E,440.023624812,1,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
W,442.02419423,2,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
S,444.024120721,3,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,446.02408287,4,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,448.024333018,5,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
L,450.024525019,6,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
L,452.02465119,7,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
L,454.024508013,8,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
N,456.024604013,9,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
N,458.02451295,10,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
H,460.034538656,11,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
D,462.024910665,12,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
C,464.034403159,13,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
B,466.025082368,14,12,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
