Word,Phono_N,IMG,ITI,NoF,FAM,LgSUBTLWF,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
moth,8,577,2.72,8,496,2.068,947,4,550,1341,n,12,4,1,0,11,11,11,,,left,0.867962121964,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
oak,13,590,1.99,11,515,2.458,76,3,588,2425,n,13,4,2,0,12,12,12,,,left,1.43504714966,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
desk,3,574,3.31,16,583,3.35,1461,4,583,2094,n,14,3,1,0,13,13,13,,,down,0.935063123703,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
dog,9,636,2.17,18,598,3.993,344,3,610,3050,y,15,13,8,0,14,14,14,,,left,0.770468950272,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
skunk,3,652,1.23,12,519,2.223,530,5,648,1129,n,16,3,5,0,15,15,15,,,left,0.75159406662,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
rocket,4,612,2.2,12,525,2.324,1507,6,645,2351,y,17,7,7,0,16,16,16,,,down,0.787580966949,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
snail,3,577,1.72,9,489,1.959,700,5,579,1111,n,18,1,3,0,17,17,17,,,left,0.685153961182,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
spinach,1,606,1.98,11,452,2.117,1303,7,589,715,n,19,0,2,0,18,18,18,,,left,1.15439605713,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
canary,0,533,2.04,15,411,3.595,1877,6,577,1732,y,20,0,5,0,19,19,19,,,left,0.804352998734,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
brush,4,570,1.81,12,579,2.747,921,5,589,2029,y,21,3,14,0,20,20,20,,,down,0.801400899887,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
barn,11,589,2.44,17,466,2.841,1566,4,614,1849,n,22,12,2,0,21,21,21,,,down,0.78546500206,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
harp,8,621,1.24,8,430,2.107,1500,4,591,1614,y,23,6,5,0,22,22,22,,,down,0.903093099594,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
piano,0,630,4.11,13,545,2.13,974,5,615,2509,y,24,0,4,0,23,23,23,,,down,0.966923952103,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
hammer,6,618,2.86,16,515,2.804,2424,6,605,2139,n,25,2,9,0,24,24,24,,,down,0.75128698349,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
tangerine,0,625,3.72,16,495,1.591,4312,9,645,0,n,26,0,4,0,25,25,25,,,left,1.13476490974,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
tent,21,593,1.98,11,521,2.033,1316,4,608,1939,y,27,16,2,0,26,26,26,,,down,0.851345062256,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
pigeon,0,610,1.41,14,499,1.653,1155,6,609,1507,y,28,0,1,0,27,27,27,,,left,0.853909015656,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
accordion,0,576,2.29,9,394,1.833,2051,9,586,1277,y,29,0,1,0,28,28,28,,,down,0.784914016724,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
crow,6,578,1.45,13,490,2.358,1334,4,590,1926,n,30,6,9,0,29,29,29,,,left,0.771022796631,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
eagle,5,601,1.2,17,465,1.851,778,5,616,2513,y,31,0,5,0,30,30,30,,,left,0.951778888702,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
fox,12,607,2.08,17,501,3.043,373,3,605,2717,n,32,6,10,0,31,31,31,,,left,0.884819984436,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
emerald,0,602,0.4,12,457,1.756,1346,7,613,1791,y,33,0,3,0,32,32,32,,,down,1.33525013924,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
lemon,4,632,2.02,17,518,2.788,1017,5,608,1773,n,34,1,5,0,33,33,33,,,left,0.818527936935,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
kettle,15,594,1.86,17,551,2.158,1572,6,602,1476,n,35,3,4,0,34,34,34,,,down,0.737744092941,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
bayonet,0,548,1.29,7,293,2.164,1303,7,600,1262,y,36,0,2,0,35,35,35,,,down,0.884792089462,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
brick,12,574,1.98,9,529,2.761,1385,5,610,2384,y,37,6,2,0,36,36,36,,,down,0.554005146027,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
pony,7,642,1.14,18,524,2.004,1533,4,611,1525,y,38,7,5,0,37,37,37,,,left,0.754060029984,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
cherry,16,582,1.08,12,514,2.292,1409,6,611,2035,y,39,2,5,0,38,38,38,,,left,0.63475394249,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
chain,28,559,2.0,11,513,2.263,1568,5,595,2915,y,40,1,11,0,39,39,39,,,down,0.82093000412,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
balloon,4,583,1.49,18,520,2.646,2168,7,623,1903,y,41,0,4,0,40,40,40,,,down,0.768181085587,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
tortoise,0,539,3.49,14,415,1.914,2123,8,602,1285,y,42,0,1,0,41,41,41,,,left,0.735234975815,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
cabin,0,582,0.25,10,523,1.903,1496,5,596,2197,y,43,0,4,0,42,42,42,,,down,0.671106100082,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
dove,16,616,1.35,10,415,2.455,732,4,588,1816,n,44,13,5,0,43,43,43,,,left,0.8683989048,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
