Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,expName,frameRate,ParticipantID,
pear,590,13,4,1647,4,634,1033,y,48,16,2,32,L,2.98,2.654,left,567,B,0,47,47,47,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
birch,561,10,1,915,5,620,1697,n,49,2,5,21,H,1.74,1.903,left,518,B,0,48,48,48,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
harp,621,8,1,1500,4,591,1614,y,50,6,5,8,H,2.23,2.107,down,430,A,0,49,49,49,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
rabbit,611,14,5,937,6,635,2171,n,51,0,4,2,H,1.47,3.029,left,523,B,0,50,50,50,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
blouse,595,15,3,1127,6,640,651,y,52,0,1,3,L,2.53,2.283,down,562,A,0,51,51,51,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
sleigh,608,9,2,704,6,613,1173,n,53,0,2,13,L,0.88,2.225,down,531,A,0,52,52,52,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
eagle,601,17,1,778,5,616,2513,y,54,0,5,5,H,3.45,1.851,left,465,B,0,53,53,53,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
sardine,592,11,2,3170,7,606,456,y,55,0,4,0,H,2.62,2.182,left,446,B,0,54,54,54,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
robin,615,17,5,1064,5,637,2451,n,56,1,2,3,L,2.31,3.105,left,487,B,0,55,55,55,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
helmet,620,12,4,1415,6,602,1987,n,57,0,2,0,L,2.31,2.685,down,528,A,0,56,56,56,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
willow,565,10,3,1532,6,589,1642,n,58,3,2,10,L,1.92,2.504,left,425,B,0,57,57,57,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
cherry,582,12,3,1409,6,611,2035,y,59,2,5,16,H,1.17,2.292,left,514,B,0,58,58,58,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
ant,613,12,3,790,3,604,1565,n,60,7,1,9,L,1.31,2.438,left,511,B,0,59,59,59,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
tiger,606,24,4,1929,5,611,2338,y,61,4,2,6,L,1.85,2.707,left,513,B,0,60,60,60,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
snail,577,9,1,700,5,579,1111,n,62,1,3,3,L,2.57,1.959,left,489,B,0,61,61,61,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
emerald,602,12,1,1346,7,613,1791,y,63,0,3,0,L,3.35,1.756,down,457,A,0,62,62,62,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
chain,559,11,2,1568,5,595,2915,y,64,1,11,28,H,2.22,2.263,down,513,A,0,63,63,63,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
hawk,591,13,4,470,4,623,1903,n,65,4,6,16,H,1.82,2.814,left,504,B,0,64,64,64,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
shirt,612,18,5,1121,5,616,2057,n,66,5,2,15,L,2.43,3.374,down,612,A,0,65,65,65,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
shrimp,618,13,3,1140,6,629,1570,n,67,1,4,2,H,3.24,2.648,left,546,B,0,66,66,66,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
broom,608,13,3,1476,5,613,1238,n,68,4,5,8,H,1.48,2.387,down,547,A,0,67,67,67,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
canary,533,15,5,1877,6,577,1732,y,69,0,5,0,H,1.98,3.595,left,411,B,0,68,68,68,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
pepper,587,12,4,2531,6,591,1956,n,70,2,6,6,H,2.42,2.653,left,554,B,0,69,69,69,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
leopard,635,9,1,1030,7,595,1639,y,71,2,2,6,L,2.28,1.663,left,431,B,0,70,70,70,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
pencil,607,16,4,1612,6,617,1602,n,72,0,5,1,H,1.47,2.702,down,598,A,0,71,71,71,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
dandelion,579,13,1,2997,9,558,965,n,73,0,1,0,L,2.39,1.204,left,513,B,0,72,72,72,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
cellar,572,10,4,1695,6,572,1676,n,74,1,3,10,L,0.86,2.68,down,467,A,0,73,73,73,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
bench,555,11,4,1553,5,614,2109,n,75,5,9,7,H,2.33,2.694,down,488,A,0,74,74,74,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
pony,642,18,1,1533,4,611,1525,y,76,7,5,7,H,2.07,2.004,left,524,B,0,75,75,75,,,left,1,1.00192689896,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
kettle,594,17,1,1572,6,602,1476,n,77,3,4,15,H,3.73,2.158,down,551,A,0,76,76,76,,,down,1,0.867412090302,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
tangerine,625,16,1,4312,9,645,0,n,78,0,4,0,H,0.99,1.591,left,495,B,0,77,77,77,,,left,1,0.883897066116,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
mat,537,13,2,1237,3,513,1527,n,79,18,10,31,H,1.84,2.253,down,490,A,0,78,78,78,,,down,1,0.686869859695,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
cloak,518,8,2,778,5,543,1572,n,80,2,3,13,L,3.14,2.188,down,423,A,0,79,79,79,,,down,1,0.867165088654,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
sofa,597,18,5,377,4,629,1162,y,81,3,1,3,L,4.0,3.554,down,564,A,0,80,80,80,,,down,1,0.768082857132,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
limousine,595,19,1,2292,9,624,1229,y,82,0,1,0,L,1.71,1.909,down,505,A,0,81,81,81,,,down,1,0.717216968536,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
toad,591,23,3,690,4,568,1245,n,83,5,1,23,L,1.91,2.464,down,516,A,0,82,82,82,,,left,0,1.18778800964,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
barn,589,17,5,1566,4,614,1849,n,84,12,2,11,L,1.81,2.841,down,466,A,0,83,83,83,,,None,0,,2018_Mar_13_1616,LexicalDecision,60.0680263341,99999999,
