Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,n,key_resp_3.corr_mean,key_resp_3.corr_raw,key_resp_3.corr_std,key_resp_3.keys_raw,key_resp_3.rt_mean,key_resp_3.rt_raw,key_resp_3.rt_std,order
sardine,592,11,2,3170,7,606,456,y,55,0,4,0,H,2.62,2.182,left,446,B,1.0,1.0,1.0,0.0,'left',0.66864991188,0.6686499118804932,0.0,54.0
robin,615,17,5,1064,5,637,2451,n,56,1,2,3,L,2.31,3.105,left,487,B,1.0,1.0,1.0,0.0,'left',0.537559986115,0.537559986114502,0.0,55.0
helmet,620,12,4,1415,6,602,1987,n,57,0,2,0,L,2.31,2.685,down,528,A,1.0,1.0,1.0,0.0,'down',0.634845972061,0.6348459720611572,0.0,56.0
willow,565,10,3,1532,6,589,1642,n,58,3,2,10,L,1.92,2.504,left,425,B,1.0,1.0,1.0,0.0,'left',0.651759147644,0.651759147644043,0.0,57.0
cherry,582,12,3,1409,6,611,2035,y,59,2,5,16,H,1.17,2.292,left,514,B,1.0,1.0,1.0,0.0,'left',0.637606859207,0.6376068592071533,0.0,58.0
ant,613,12,3,790,3,604,1565,n,60,7,1,9,L,1.31,2.438,left,511,B,1.0,1.0,1.0,0.0,'left',0.701378107071,0.7013781070709229,0.0,59.0
tiger,606,24,4,1929,5,611,2338,y,61,4,2,6,L,1.85,2.707,left,513,B,1.0,1.0,1.0,0.0,'left',0.537211894989,0.5372118949890137,0.0,60.0
snail,577,9,1,700,5,579,1111,n,62,1,3,3,L,2.57,1.959,left,489,B,1.0,1.0,1.0,0.0,'left',0.601675987244,0.6016759872436523,0.0,61.0
emerald,602,12,1,1346,7,613,1791,y,63,0,3,0,L,3.35,1.756,down,457,A,1.0,1.0,1.0,0.0,'down',0.718213796616,0.7182137966156006,0.0,62.0
chain,559,11,2,1568,5,595,2915,y,64,1,11,28,H,2.22,2.263,down,513,A,1.0,1.0,1.0,0.0,'down',0.702767133713,0.7027671337127686,0.0,63.0
hawk,591,13,4,470,4,623,1903,n,65,4,6,16,H,1.82,2.814,left,504,B,1.0,1.0,1.0,0.0,'left',0.668151140213,0.6681511402130127,0.0,64.0
shirt,612,18,5,1121,5,616,2057,n,66,5,2,15,L,2.43,3.374,down,612,A,1.0,1.0,1.0,0.0,'down',0.63390994072,0.6339099407196045,0.0,65.0
shrimp,618,13,3,1140,6,629,1570,n,67,1,4,2,H,3.24,2.648,left,546,B,1.0,1.0,1.0,0.0,'left',0.968128919601,0.9681289196014404,0.0,66.0
broom,608,13,3,1476,5,613,1238,n,68,4,5,8,H,1.48,2.387,down,547,A,1.0,1.0,1.0,0.0,'down',0.636313199997,0.6363131999969482,0.0,67.0
canary,533,15,5,1877,6,577,1732,y,69,0,5,0,H,1.98,3.595,left,411,B,1.0,1.0,1.0,0.0,'left',0.570402860641,0.5704028606414795,0.0,68.0
pepper,587,12,4,2531,6,591,1956,n,70,2,6,6,H,2.42,2.653,left,554,B,1.0,1.0,1.0,0.0,'left',0.634769916534,0.6347699165344238,0.0,69.0
leopard,635,9,1,1030,7,595,1639,y,71,2,2,6,L,2.28,1.663,left,431,B,1.0,1.0,1.0,0.0,'left',0.634097099304,0.6340970993041992,0.0,70.0
pencil,607,16,4,1612,6,617,1602,n,72,0,5,1,H,1.47,2.702,down,598,A,1.0,1.0,1.0,0.0,'down',0.686617136002,0.6866171360015869,0.0,71.0
dandelion,579,13,1,2997,9,558,965,n,73,0,1,0,L,2.39,1.204,left,513,B,1.0,1.0,1.0,0.0,'left',0.735117912292,0.7351179122924805,0.0,72.0
cellar,572,10,4,1695,6,572,1676,n,74,1,3,10,L,0.86,2.68,down,467,A,1.0,1.0,1.0,0.0,'down',0.670919179916,0.6709191799163818,0.0,73.0
bench,555,11,4,1553,5,614,2109,n,75,5,9,7,H,2.33,2.694,down,488,A,1.0,1.0,1.0,0.0,'down',0.91849398613,0.9184939861297607,0.0,74.0
pony,642,18,1,1533,4,611,1525,y,76,7,5,7,H,2.07,2.004,left,524,B,1.0,1.0,1.0,0.0,'left',0.650352954865,0.650352954864502,0.0,75.0
kettle,594,17,1,1572,6,602,1476,n,77,3,4,15,H,3.73,2.158,down,551,A,1.0,1.0,1.0,0.0,'down',0.651750802994,0.6517508029937744,0.0,76.0
tangerine,625,16,1,4312,9,645,0,n,78,0,4,0,H,0.99,1.591,left,495,B,1.0,1.0,1.0,0.0,'left',0.653394937515,0.6533949375152588,0.0,77.0
mat,537,13,2,1237,3,513,1527,n,79,18,10,31,H,1.84,2.253,down,490,A,1.0,1.0,1.0,0.0,'down',1.00188803673,1.0018880367279053,0.0,78.0
cloak,518,8,2,778,5,543,1572,n,80,2,3,13,L,3.14,2.188,down,423,A,1.0,1.0,1.0,0.0,'down',0.654339790344,0.6543397903442383,0.0,79.0
sofa,597,18,5,377,4,629,1162,y,81,3,1,3,L,4.0,3.554,down,564,A,1.0,1.0,1.0,0.0,'down',0.884836912155,0.8848369121551514,0.0,80.0
limousine,595,19,1,2292,9,624,1229,y,82,0,1,0,L,1.71,1.909,down,505,A,1.0,1.0,1.0,0.0,'down',0.65149307251,0.6514930725097656,0.0,81.0
toad,591,23,3,690,4,568,1245,n,83,5,1,23,L,1.91,2.464,down,516,A,1.0,0.0,0.0,0.0,'left',0.951493024826,0.9514930248260498,0.0,82.0
barn,589,17,5,1566,4,614,1849,n,84,12,2,11,L,1.81,2.841,down,466,A,1.0,1.0,1.0,0.0,'down',0.984951019287,0.9849510192871094,0.0,83.0
tortoise,539,14,1,2123,8,602,1285,y,85,0,1,0,L,2.42,1.914,left,415,B,1.0,1.0,1.0,0.0,'left',0.785004138947,0.7850041389465332,0.0,84.0
tomato,610,13,5,1454,6,662,1459,y,86,0,2,0,L,2.28,2.827,left,574,B,1.0,1.0,1.0,0.0,'left',1.05187416077,1.0518741607666016,0.0,85.0
lamp,575,14,3,923,4,615,1835,y,87,10,2,9,L,3.0,2.61,down,578,A,1.0,1.0,1.0,0.0,'down',0.984730958939,0.9847309589385986,0.0,86.0
cage,585,13,1,962,4,593,2152,y,88,13,6,15,H,2.32,1.255,down,487,A,1.0,1.0,1.0,0.0,'down',1.26928400993,1.2692840099334717,0.0,87.0
hamster,581,14,2,2583,7,599,1240,n,89,0,1,0,L,2.47,2.041,left,467,B,1.0,1.0,1.0,0.0,'left',0.651738882065,0.6517388820648193,0.0,88.0
clock,614,14,5,1103,5,591,2344,n,90,8,2,13,L,2.44,3.476,down,608,A,1.0,1.0,1.0,0.0,'down',0.68484210968,0.6848421096801758,0.0,89.0
shed,602,12,4,903,4,611,2144,n,91,6,6,18,H,2.5,2.749,down,524,A,1.0,1.0,1.0,0.0,'down',0.935403108597,0.9354031085968018,0.0,90.0
python,559,15,3,873,6,580,1538,y,92,0,3,0,L,1.42,2.314,left,308,B,1.0,1.0,1.0,0.0,'left',0.770603895187,0.7706038951873779,0.0,91.0
spinach,606,11,2,1303,7,589,715,n,93,0,2,1,L,2.01,2.117,left,452,B,1.0,1.0,1.0,0.0,'left',1.18510293961,1.185102939605713,0.0,92.0
dress,595,13,5,1357,5,595,2608,n,94,3,21,4,H,4.76,3.648,down,588,A,1.0,1.0,1.0,0.0,'down',0.701890945435,0.7018909454345703,0.0,93.0
jacket,611,15,5,1459,6,635,1849,n,95,2,7,2,H,2.73,3.232,down,596,A,1.0,1.0,1.0,0.0,'down',0.835067033768,0.8350670337677002,0.0,94.0
vine,564,8,3,1065,4,601,1655,y,96,12,1,22,L,2.35,2.48,left,411,B,1.0,1.0,1.0,0.0,'left',0.970938920975,0.9709389209747314,0.0,95.0
whale,623,12,4,1289,5,610,1810,n,97,3,3,5,L,3.25,2.76,left,500,B,1.0,1.0,1.0,0.0,'left',0.737548828125,0.737548828125,0.0,96.0
hammer,618,16,4,2424,6,605,2139,n,98,2,9,6,H,1.78,2.804,down,515,A,1.0,1.0,1.0,0.0,'down',0.918332099915,0.9183320999145508,0.0,97.0
dog,636,18,5,344,3,610,3050,y,99,13,8,9,H,1.51,3.993,left,598,B,1.0,1.0,1.0,0.0,'left',1.18484687805,1.1848468780517578,0.0,98.0
umbrella,592,11,3,1208,8,606,1961,n,100,0,4,0,H,2.66,2.583,down,511,A,1.0,1.0,1.0,0.0,'down',0.851511955261,0.8515119552612305,0.0,99.0

extraInfo
date,2018_Mar_20_2101
expName,LexicalDecision
frameRate,60.0448944065
ParticipantID,99999999
