Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,expName,frameRate,ParticipantID,
oven,599,14,4,635,4,593,1712,n,22,5,1,1,L,2.44,2.657,down,577,A,0,21,21,21,,,down,1,0.636113166809,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
cabin,582,10,1,1496,5,596,2197,y,23,0,4,0,H,1.24,1.903,down,523,A,0,22,22,22,,,down,1,0.618252038956,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
bayonet,548,7,2,1303,7,600,1262,y,24,0,2,0,L,4.11,2.164,down,293,A,0,23,23,23,,,down,1,0.734979867935,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
apple,637,19,5,968,5,620,2493,n,25,2,2,4,L,2.86,3.082,left,598,B,0,24,24,24,,,left,1,0.601681947708,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
oak,590,11,3,76,3,588,2425,n,26,4,2,13,L,3.72,2.458,left,515,B,0,25,25,25,,,left,1,1.06839203835,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
fox,607,17,5,373,3,605,2717,n,27,6,10,12,H,1.98,3.043,left,501,B,0,26,26,26,,,left,1,0.651324033737,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
sheep,596,21,5,1149,5,622,2439,n,28,7,3,27,L,1.41,2.836,left,507,B,0,27,27,27,,,left,1,0.768497943878,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
rocket,612,12,3,1507,6,645,2351,y,29,7,7,4,H,2.29,2.324,down,525,A,0,28,28,28,,,down,1,0.603984832764,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
lettuce,608,18,5,1231,7,579,1239,y,30,0,3,3,L,1.45,2.82,left,565,B,0,29,29,29,,,left,1,0.651870012283,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
olive,578,17,2,641,5,618,2016,y,31,1,6,0,H,1.2,2.121,left,444,B,0,30,30,30,,,left,1,0.669498920441,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
peach,613,15,2,1816,5,617,1540,y,32,7,5,25,H,2.08,2.037,left,536,B,0,31,31,31,,,left,1,0.569662809372,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
crow,578,13,3,1334,4,590,1926,n,33,6,9,6,H,0.4,2.358,left,490,B,0,32,32,32,,,left,1,0.687693119049,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
pigeon,610,14,1,1155,6,609,1507,y,34,0,1,0,L,2.02,1.653,left,499,B,0,33,33,33,,,left,1,0.586585998535,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
beetle,640,13,1,1619,6,619,1397,n,35,0,5,6,H,1.86,2.025,left,503,B,0,34,34,34,,,left,1,0.601529121399,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
orange,626,16,4,1803,6,601,2816,y,36,1,6,2,H,1.29,2.711,left,567,B,0,35,35,35,,,left,1,0.451376199722,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
sparrow,583,13,2,1213,7,629,1480,n,37,0,2,0,L,1.98,2.127,left,523,B,0,36,36,36,,,left,1,0.501717805862,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
stove,592,13,3,1281,5,591,1379,n,38,7,2,6,L,1.14,2.589,down,525,A,0,37,37,37,,,down,1,0.754108905792,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
lemon,632,17,4,1017,5,608,1773,n,39,1,5,4,H,1.08,2.788,left,518,B,0,38,38,38,,,left,1,0.567979097366,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
flea,606,17,2,924,4,625,1347,n,40,5,1,16,L,2.0,2.23,left,515,B,0,39,39,39,,,left,1,0.584867954254,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
balloon,583,18,3,2168,7,623,1903,y,41,0,4,4,H,1.49,2.646,down,520,A,0,40,40,40,,,down,1,0.703824996948,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
