trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,0,10,0,63.49088227600441,None,63.19172275200253,None,left,0.2329062700009672,63.19172275200253,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
11,0,11,0,64.87482117699983,None,64.54136011299852,None,left,0.2390364890015917,64.54136011299852,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
12,0,12,0,66.24140176300716,None,65.90854442199634,None,left,0.25874495299649425,65.90854442199634,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
13,0,13,0,67.60825810200186,None,67.27495335199637,None,left,0.2573080379952444,67.27495335199637,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
14,0,14,0,68.99180185499426,None,68.64203948900104,None,left,0.25706453500606585,68.64203948900104,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
15,0,15,0,70.37504798499867,None,70.0254072509997,None,left,0.2817247810016852,70.0254072509997,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
16,0,16,0,71.75894747700659,None,71.40885089700168,None,left,0.24904723900544923,71.40885089700168,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
17,0,17,0,73.04200382600538,None,72.77655171300285,None,left,0.1922552929900121,72.77655171300285,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
18,0,18,0,74.45887875799963,None,74.09233550999488,None,left,0.2783874019951327,74.09233550999488,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
19,0,19,0,75.85822773599648,None,75.49195009899267,None,left,0.2799516369996127,75.49195009899267,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
