trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
21,0,21,0,45.010921567998594,None,44.74417908599571,None,left,0.19748518399865134,44.74417908599571,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
22,0,22,0,46.1942712569944,None,46.043674198997905,None,left,0.0954432939979597,46.043674198997905,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
23,0,23,0,47.509740941997734,None,47.225710245998926,None,left,0.2316253359967959,47.225710245998926,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
24,0,24,0,48.793886216997635,None,48.54395553699578,None,left,0.1758162020050804,48.54395553699578,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
25,0,25,0,50.11134812799719,None,49.828098048994434,None,left,0.21556906100158812,49.828098048994434,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
26,0,26,0,51.42802633199608,None,51.14450283399492,None,left,0.21808024399797432,51.14450283399492,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
27,0,27,0,52.67725176800013,None,52.46054118599568,None,left,0.16530490599689074,52.46054118599568,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
28,0,28,0,53.99483423799393,None,53.710979222996684,None,left,0.22341805299947737,53.710979222996684,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
29,0,29,0,55.17795264999586,None,55.02754647299298,None,left,0.09590344600292156,55.02754647299298,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
30,0,30,0,56.46106564299407,None,56.211262462995364,None,left,0.19615157000225736,56.211262462995364,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
31,0,31,0,57.71141545499995,None,57.49476730299648,None,left,0.16396495400113054,57.49476730299648,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
32,0,32,0,59.078020961998845,None,58.74567735999881,None,left,0.260406581001007,58.74567735999881,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
33,0,33,0,60.34538213599444,None,60.12809258299967,None,left,0.16297993899934227,60.12809258299967,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
34,0,34,0,61.71192662999965,None,61.37730162599473,None,left,0.2515479880021303,61.37730162599473,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
35,0,35,0,62.945318284997484,None,62.72825688199373,None,left,0.15347605499846395,62.72825688199373,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
36,0,36,0,64.19542751699919,None,63.977584921995,None,left,0.14008532599837054,63.977584921995,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
37,0,37,0,65.54565326099691,None,65.229279329993,None,left,0.24925423999957275,65.229279329993,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
38,0,38,0,66.9117161299946,None,66.57948242899874,None,left,0.24794640699838055,66.57948242899874,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
39,0,39,0,68.2284757899979,None,67.9452711329941,None,left,0.2170599789969856,67.9452711329941,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
40,0,40,0,69.54573059099494,None,69.26156207199529,None,left,0.22167774999979883,69.26156207199529,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
41,0,41,0,70.8628135159961,None,70.57874893999542,None,left,0.22562560300139012,70.57874893999542,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
42,0,42,0,72.19377164899925,None,71.9122180879931,None,left,0.20881935599754797,71.9122180879931,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
43,0,43,0,73.47932006699557,None,73.22900076699443,None,left,0.17000485300377477,73.22900076699443,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
44,0,44,0,74.82987919399602,None,74.51291309599765,None,left,0.24096622499928344,74.51291309599765,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
45,0,45,0,76.14573343399388,None,75.86286717099574,None,left,0.21587598300538957,75.86286717099574,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
46,0,46,0,77.52974433899362,None,77.17828179599746,None,left,0.2764143280001008,77.17828179599746,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
47,0,47,0,78.89625835499464,None,78.56262879899441,None,left,0.24990380099916365,78.56262879899441,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
48,0,48,0,80.17917096799647,None,79.92914663799456,None,left,0.19959234399721026,79.92914663799456,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
49,0,49,0,81.46319703299378,None,81.21267327599344,None,left,0.17868903600174235,81.21267327599344,None,MacLaptop,002,2020_Aug_18_1234,ResponseTimeTest,3.1.0,59.85386081291539,
