Word,NoS,bio,freqQ,Repeat,Length,LgSUBTLWF,Ortho_N,Phono_N,BG_Freq_By_Pos,NoF,CNC,FAM,IMG,Sem_N,NoSb,cognate,ITI,Order,Corr
hammer,H,A,4,1,6,2.804,2,6,2424,16,605,515,618,2139,9,n,12.33,33,2
rabbit,H,B,5,3,6,3.029,0,2,937,14,635,523,611,2171,4,n,0.25,34,1
rocket,H,A,3,2,6,2.324,7,4,1507,12,645,525,612,2351,7,y,1.78,35,2
cabin,H,A,1,3,5,1.903,0,0,1496,10,596,523,582,2197,4,y,3.31,36,2
cage,H,A,1,2,4,1.255,13,15,962,13,593,487,585,2152,6,y,16.55,37,2
missile,L,A,1,3,7,1.82,1,7,2432,17,597,504,602,2059,2,y,2.81,38,2
willow,L,B,3,3,6,2.504,3,10,1532,10,589,425,565,1642,2,n,1.34,39,1
beetle,H,B,1,3,6,2.025,0,6,1619,13,619,503,640,1397,5,n,13.41,40,1
worm,H,B,4,3,4,2.714,9,10,1103,11,611,498,578,1519,5,n,2.24,41,1
pencil,H,A,4,3,6,2.702,0,1,1612,16,617,598,607,1602,5,n,4.72,42,2
cabbage,H,B,2,1,7,2.173,0,0,1324,16,611,504,573,1375,4,n,3.83,43,1
stove,L,A,3,1,5,2.589,7,6,1281,13,591,525,592,1379,2,n,12.56,44,2
pepper,H,B,4,2,6,2.653,2,6,2531,12,591,554,587,1956,6,n,7.18,45,1
brick,L,A,4,1,5,2.761,6,12,1385,9,610,529,574,2384,2,y,7.57,46,2
tiger,L,B,4,3,5,2.707,4,6,1929,24,611,513,606,2338,2,y,5.23,47,1
shrimp,H,B,3,2,6,2.648,1,2,1140,13,629,546,618,1570,4,n,3.67,48,1
desk,L,A,5,1,4,3.35,3,3,1461,16,583,583,574,2094,1,n,2.79,49,2
dress,H,A,5,3,5,3.648,3,4,1357,13,595,588,595,2608,21,n,5.46,50,2
broom,H,A,3,1,5,2.387,4,8,1476,13,613,547,608,1238,5,n,2.55,51,2
pig,H,B,5,2,3,3.3,12,20,522,22,614,509,635,2080,9,n,15.77,52,1
crow,H,B,3,3,4,2.358,6,6,1334,13,590,490,578,1926,9,n,4.84,53,1
sparrow,L,B,2,2,7,2.127,0,0,1213,13,629,523,583,1480,2,n,13.02,54,1
clock,L,A,5,2,5,3.476,8,13,1103,14,591,608,614,2344,2,n,3.51,55,2
shirt,L,A,5,3,5,3.374,5,15,1121,18,616,612,612,2057,2,n,3.64,56,2
eagle,H,B,1,2,5,1.851,0,5,778,17,616,465,601,2513,5,y,3.58,57,1
axe,L,A,3,3,3,2.398,9,6,46,16,623,461,597,1856,3,y,4.81,58,2
chain,H,A,2,1,5,2.263,1,28,1568,11,595,513,559,2915,11,y,3.49,59,2
dog,H,B,5,1,3,3.993,13,9,344,18,610,598,636,3050,8,y,2.71,60,1
